Centro,Fecha_Creacion,Hora,FRM_Orden_Final,FRM_Orden_Item_Final,EOC_ID_TIENDA,Grupo_Canal,Tipo_de_Negocio,Tipo_Despacho_Detalle,Operador_Logistico_Old,EOC_DELIVERYSTOREID,EOC_Estado,Estado_T,Estado_T_Detalle,FRM_N_DNI_Asesor,FRM_Tipologia,Fecha_Entrega_Pactada,Fecha_Entrega_Real,INR_FechaActivacion,Cruce_INAR,EOC_Estado,EOC_Cierre,Multilinea_Asesor,Multi_item,FRM_Departamento_de_entrega,INR_NumRentaIGV_Neto,FRM_Plan_vendido,OBI_Nuevo_plan
Netcall,2 sept 2026,10,915229806,9152298068170040932237,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CERRADAS,Entregado,Entregado,NET_KROJASNAUPA,SIM,2 sept 2026,2 sept 2026,null,No,CERRADAS,2026-09-03 03:29:52,Monolínea,Mono_item,Ucayali,null,Power ilim 79.90 SD N,Power ilim 79.90 SD N
Netcall,3 sept 2026,10,915636720,91563672089511710111070113150,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9349,CANCELADAS,Cancelado,Cancelado,NET_MMACHACAM,SIM,3 sept 2026,null,null,No,CANCELADAS,2026-09-03 12:00:22,Monolínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,11,914813047,9148130478165748525363,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CERRADAS,Entregado,Entregado,NET_YMILLA,SIM,1 sept 2026,1 sept 2026,02/09/2026,Sí,CERRADAS,2026-09-02 00:14:30,Monolínea,Mono_item,Ucayali,29.95,Power 59.90 N,Power 59.90 N
Netcall,1 sept 2026,12,914823622,9148236228165857441457,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CANCELADAS,Anulado,SIN DOCUMENTO DE IDENTIDAD / PERDIDA,NET_MQUISPEH,SIM,1 sept 2026,null,null,No,CANCELADAS,2026-09-02 17:02:24,Monolínea,Mono_item,Ucayali,null,null,Power ilim 69.90 N
Netcall,1 sept 2026,12,914829865,9148298658165919119799,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MVALIENTES,SIM,1 sept 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null,null,Power ilim 79.90 SD N
Netcall,1 sept 2026,14,914866535,9148665358166327114352,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_MCHAMBI,SIM,2 sept 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null,null,Power ilim 79.90 SD N
Netcall,3 sept 2026,12,915688321,915688321Empty,9271,Outbound,Portabilidad Postpago,PROGRAMADO,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_JMELLOV,SIM,4 sept 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null,null,null
Netcall,3 sept 2026,12,915679446,915679446Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ARIVERA,SIM,4 sept 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null,null,null
Netcall,3 sept 2026,12,915674521,91567452189511710111070113184,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_CALCAB,SIM,3 sept 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null,null,null
Netcall,2 sept 2026,10,915235635,9152356358170094513815,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CANCELADAS,Anulado,CLIENTE YA NO DESEA PRODUCTO,NET_GHERRERAG,SIM,2 sept 2026,null,null,No,CANCELADAS,2026-09-02 11:19:49,Monolínea,Mono_item,Ucayali,null,null,Power ilim 69.90 N
