Centro,Fecha_Creacion,Hora,FRM_Orden_Final,FRM_Orden_Item_Final,EOC_ID_TIENDA,Grupo_Canal,Tipo_de_Negocio,Tipo_Despacho_Detalle,Operador_Logistico_Old,EOC_DELIVERYSTOREID,EOC_Estado,Estado_T,Estado_T_Detalle,FRM_N_DNI_Asesor,FRM_Tipologia,Fecha_Entrega_Pactada,Fecha_Entrega_Real,INR_FechaActivacion,Cruce_INAR,EOC_Estado,EOC_Cierre,Multilinea_Asesor,Multi_item,FRM_Departamento_de_entrega,INR_NumRentaIGV_Neto,FRM_Plan_vendido,OBI_Nuevo_plan
Netcall,1 sept 2026,14,914865534,914865534Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_MCHAMBI,SIM,2 sept 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,14,914866535,914866535Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_MCHAMBI,SIM,2 sept 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,12,914823622,91482362289511710111070113465,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MQUISPEH,SIM,1 sept 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,13,914837963,914837963Empty,9271,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MVALIENTES,SIM,2 sept 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,12,914829865,91482986589511710111070112871,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MVALIENTES,SIM,1 sept 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,11,914813047,91481304789511710111070112699,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Entregado,Entregado,NET_YMILLA,SIM,1 sept 2026,1 sept 2026,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null,null,null
Netcall,1 sept 2026,14,914865698,91486569889511710111070742313,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,5022,ABIERTAS,Entregado,Entregado,NET_GCABALLEROC,SIM,1 sept 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Arequipa,null,null,null
Netcall,1 sept 2026,10,914786884,91478688489511710101031767277,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,3115,ABIERTAS,Entregado,Entregado,NET_GHUAMANT,SIM,1 sept 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Pasco,null,null,null
Netcall,1 sept 2026,11,914799412,91479941289511710121058172102,9283,Outbound,Venta Regular / Alta,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,TLV_NET_LSANCHA,SIM,1 sept 2026,1 sept 2026,null,No,CERRADAS,2026-09-01 17:28:49,Multilínea,Mono_item,Cusco,null,Power ilim 79.90 SD N,null
Netcall,1 sept 2026,10,914793239,91479323989511710121058172094,9283,Outbound,Venta Regular / Alta,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,TLV_NET_LSANCHA,SIM,1 sept 2026,1 sept 2026,null,No,CERRADAS,2026-09-01 17:26:57,Multilínea,Mono_item,Cusco,null,Power ilim 79.90 SD N,null
